Date,Tmax_x,Tmin_x,Tavg_x,Depart_x,DewPoint_x,Heat_x,Cool_x,Sunrise_x,Sunset_x,Depth_x,ResultSpeed_x,ResultDir_x,AvgSpeed_x,Tmax_y,Tmin_y,DewPoint_y,ResultSpeed_y,ResultDir_y
2007-05-01,83,50,67,14,51,0,2,0448,1849,0,1.7,27,9.2,84,52,51,2.7,25
2007-05-02,59,42,51,-3,42,14,0,0447,1850,0,13.0,4,13.4,60,43,42,13.3,2
2007-05-03,66,46,56,2,40,9,0,0446,1851,0,11.7,7,11.9,67,48,40,12.9,6
2007-05-04,66,49,58,4,41,7,0,0444,1852,0,10.4,8,10.8,78,51,42,10.1,7
2007-05-05,66,53,60,5,38,5,0,0443,1853,0,11.7,7,12.0,66,54,39,11.2,7
2007-05-06,68,49,59,4,30,6,0,0442,1855,0,14.4,11,15.0,68,52,30,13.8,10
2007-05-07,83,47,65,10,41,0,0,0441,1856,0,8.6,18,10.5,84,50,39,8.5,17
2007-05-08,82,54,68,12,58,0,3,0439,1857,0,2.7,11,5.8,80,60,57,2.5,8
2007-05-09,77,61,69,13,59,0,4,0438,1858,0,3.9,9,6.2,76,63,60,3.9,7
2007-05-10,84,56,70,14,52,0,5,0437,1859,0,0.7,17,4.1,83,59,52,2.0,9
2007-05-11,70,51,61,4,42,4,0,0436,1860,0,11.3,3,12.9,73,49,44,11.7,36
2007-05-12,64,46,55,-2,36,10,0,0435,1901,0,12.4,3,12.9,65,47,37,12.7,1
2007-05-13,69,43,56,-2,33,9,0,0434,1902,0,6.6,14,8.1,69,44,32,6.4,11
2007-05-14,90,56,73,15,47,0,8,0433,1903,0,16.9,21,17.3,90,54,45,14.1,21
2007-05-15,80,57,69,11,56,0,4,0432,1904,0,8.1,27,12.3,82,56,56,8.1,25
2007-05-16,66,44,55,-4,43,10,0,0431,1905,0,7.8,36,12.2,64,45,42,8.0,36
2007-05-17,62,43,53,-6,32,12,0,0430,1906,0,10.5,3,11.3,61,44,32,11.7,1
2007-05-18,71,42,57,-3,30,8,0,0429,1907,0,5.4,25,7.5,70,43,31,3.4,22
2007-05-19,80,56,68,8,39,0,3,0428,1908,0,11.1,24,11.4,80,56,37,11.1,23
2007-05-20,69,43,56,-5,40,9,0,0427,1909,0,10.4,4,10.7,69,44,41,8.6,3
2007-05-21,80,44,62,1,50,3,0,0426,1910,0,6.3,11,8.2,79,46,50,6.3,10
2007-05-22,87,55,71,10,46,0,6,0425,1911,0,10.0,18,10.2,87,60,44,10.1,16
2007-05-23,89,60,75,14,49,0,10,0425,1912,0,11.4,19,11.8,89,66,48,10.9,18
2007-05-24,88,63,76,14,54,0,11,0424,1913,0,14.9,21,17.3,88,66,53,13.8,20
2007-05-25,70,56,63,1,44,2,0,0423,1914,0,4.9,5,8.8,66,57,46,4.5,5
2007-05-26,65,49,57,-5,55,8,0,0422,1915,0,2.8,17,7.2,70,50,55,2.5,15
2007-05-27,75,57,66,4,47,0,1,0422,1916,0,8.9,26,9.5,75,59,49,8.2,24
2007-05-28,79,50,65,2,47,0,0,0421,1916,0,4.8,10,5.3,76,54,49,4.7,8
2007-05-29,88,60,74,10,58,0,9,0421,1917,0,5.8,18,6.5,88,65,59,5.8,16
2007-05-30,87,66,77,13,58,0,12,0420,1918,0,10.3,19,10.6,89,70,57,9.7,17
2007-05-31,78,65,72,8,61,0,7,0420,1919,0,9.3,19,9.9,80,68,61,8.9,18
2007-06-01,85,62,74,10,63,0,9,0419,1920,0,4.2,17,6.4,86,67,63,4.7,16
2007-06-02,81,65,73,9,63,0,8,0419,1920,0,6.5,22,7.4,81,68,62,7.5,21
2007-06-03,78,62,70,6,60,0,5,0418,1921,0,5.2,25,6.7,77,64,60,4.9,24
2007-06-04,71,58,65,1,58,0,0,0418,1922,0,7.8,31,9.7,72,56,57,7.9,30
2007-06-05,64,47,56,-9,48,9,0,0417,1923,0,5.2,5,7.6,63,51,47,6.2,3
2007-06-06,71,44,58,-8,48,7,0,0417,1923,0,10.8,17,11.4,73,48,47,9.6,15
2007-06-07,91,71,81,15,62,0,16,0417,1924,0,22.7,20,23.1,92,71,61,20.3,19
2007-06-08,81,57,69,3,53,0,4,0417,1925,0,10.9,28,13.8,81,63,54,9.3,26
2007-06-09,79,52,66,0,47,0,1,0416,1925,0,0.3,33,5.0,79,57,49,2.4,19
2007-06-10,81,55,68,1,51,0,3,0416,1926,0,4.8,17,5.6,81,61,50,4.6,16
2007-06-11,86,58,72,5,52,0,7,0416,1926,0,4.9,11,6.9,85,65,51,6.6,9
2007-06-12,83,62,73,5,50,0,8,0416,1927,0,8.3,5,8.8,82,66,51,9.4,5
2007-06-13,87,60,74,6,53,0,9,0416,1927,0,7.2,5,8.6,86,68,53,7.0,5
2007-06-14,89,64,77,9,55,0,12,0416,1928,0,5.6,5,6.8,89,68,54,5.9,7
2007-06-15,91,63,77,9,56,0,12,0416,1928,0,4.1,6,4.9,89,67,56,3.8,9
2007-06-16,93,66,80,11,60,0,15,0416,1929,0,4.8,28,5.8,92,68,61,2.1,22
2007-06-17,91,70,81,12,64,0,16,0416,1929,0,2.8,11,6.3,91,71,65,4.0,11
2007-06-18,89,69,79,9,65,0,14,0416,1929,0,14.0,20,15.1,89,73,65,12.2,20
2007-06-19,80,65,73,3,55,0,8,0416,1930,0,10.7,28,11.4,81,65,55,10.1,29
2007-06-20,84,61,73,3,52,0,8,0416,1930,0,7.8,27,8.8,85,62,50,5.9,28
2007-06-21,77,61,69,-1,51,0,4,0416,1930,0,3.5,3,10.7,80,66,51,3.7,2
2007-06-22,76,61,69,-1,50,0,4,0417,1931,0,7.8,6,8.7,75,62,49,6.5,7
2007-06-23,67,62,65,-5,58,0,0,0417,1931,0,7.6,12,9.0,68,61,60,7.3,11
