Date,Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
2007-05-01,1,83,50,67,51,56,0,2,448,1849,0.0,29.1,29.82,1.7,27,9.2
2007-05-02,1,59,42,51,42,47,14,0,447,1850,0.0,29.38,30.09,13.0,4,13.4
2007-05-03,1,66,46,56,40,48,9,0,446,1851,0.0,29.39,30.12,11.7,7,11.9
2007-05-04,1,66,49,58,41,50,7,0,444,1852,0.005,29.31,30.05,10.4,8,10.8
2007-05-05,1,66,53,60,38,49,5,0,443,1853,0.005,29.4,30.1,11.7,7,12.0
2007-05-06,1,68,49,59,30,46,6,0,442,1855,0.0,29.57,30.29,14.4,11,15.0
2007-05-07,1,83,47,65,41,54,0,0,441,1856,0.005,29.38,30.12,8.6,18,10.5
2007-05-08,1,82,54,68,58,62,0,3,439,1857,0.0,29.29,30.03,2.7,11,5.8
2007-05-09,1,77,61,69,59,63,0,4,438,1858,0.13,29.21,29.94,3.9,9,6.2
2007-05-10,1,84,56,70,52,60,0,5,437,1859,0.0,29.2,29.92,0.7,17,4.1
2007-05-11,1,70,51,61,42,51,4,0,436,1860,0.0,29.33,30.04,11.3,3,12.9
2007-05-12,1,64,46,55,36,46,10,0,435,1901,0.0,29.49,30.2,12.4,3,12.9
2007-05-13,1,69,43,56,33,46,9,0,434,1902,0.0,29.49,30.24,6.6,14,8.1
2007-05-14,1,90,56,73,47,59,0,8,433,1903,0.0,29.23,29.97,16.9,21,17.3
2007-05-15,1,80,57,69,56,61,0,4,432,1904,0.38,29.13,29.84,8.1,27,12.3
2007-05-16,1,66,44,55,43,48,10,0,431,1905,0.14,29.33,30.03,7.8,36,12.2
2007-05-17,1,62,43,53,32,43,12,0,430,1906,0.0,29.55,30.27,10.5,3,11.3
2007-05-18,1,71,42,57,30,46,8,0,429,1907,0.0,29.53,30.25,5.4,25,7.5
2007-05-19,1,80,56,68,39,53,0,3,428,1908,0.0,29.34,30.08,11.1,24,11.4
2007-05-20,1,69,43,56,40,44,9,0,427,1909,0.07,29.38,30.11,10.4,4,10.7
2007-05-21,1,80,44,62,50,56,3,0,426,1910,0.0,29.33,30.06,6.3,11,8.2
2007-05-22,1,87,55,71,46,58,0,6,425,1911,0.0,29.34,30.06,10.0,18,10.2
2007-05-23,1,89,60,75,49,61,0,10,425,1912,0.0,29.39,30.1,11.4,19,11.8
2007-05-24,1,88,63,76,54,63,0,11,424,1913,0.02,29.41,30.11,14.9,21,17.3
2007-05-25,1,70,56,63,44,53,2,0,423,1914,0.005,29.51,30.24,4.9,5,8.8
2007-05-26,1,65,49,57,55,56,8,0,422,1915,1.01,29.36,30.11,2.8,17,7.2
2007-05-27,1,75,57,66,47,56,0,1,422,1916,0.04,29.34,30.06,8.9,26,9.5
2007-05-28,1,79,50,65,47,56,0,0,421,1916,0.005,29.43,30.15,4.8,10,5.3
2007-05-29,1,88,60,74,58,65,0,9,421,1917,0.0,29.39,30.11,5.8,18,6.5
2007-05-30,1,87,66,77,58,65,0,12,420,1918,0.0,29.31,30.04,10.3,19,10.6
2007-05-31,1,78,65,72,61,65,0,7,420,1919,0.01,29.28,30.0,9.3,19,9.9
2007-06-01,1,85,62,74,63,66,0,9,419,1920,0.19,29.19,29.91,4.2,17,6.4
2007-06-02,1,81,65,73,63,67,0,8,419,1920,0.04,29.03,29.77,6.5,22,7.4
2007-06-03,1,78,62,70,60,63,0,5,418,1921,0.01,28.82,29.56,5.2,25,6.7
2007-06-04,1,71,58,65,58,60,0,0,418,1922,0.39,28.82,29.52,7.8,31,9.7
2007-06-05,1,64,47,56,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
2007-06-06,1,71,44,58,48,55,7,0,417,1923,0.01,29.07,29.81,10.8,17,11.4
2007-06-07,1,91,71,81,62,69,0,16,417,1924,0.0,28.84,29.55,22.7,20,23.1
2007-06-08,1,81,57,69,53,61,0,4,417,1925,0.0,29.18,29.85,10.9,28,13.8
2007-06-09,1,79,52,66,47,57,0,1,416,1925,0.0,29.36,30.07,0.3,33,5.0
2007-06-10,1,81,55,68,51,59,0,3,416,1926,0.0,29.34,30.05,4.8,17,5.6
2007-06-11,1,86,58,72,52,61,0,7,416,1926,0.0,29.41,30.11,4.9,11,6.9
2007-06-12,1,83,62,73,50,60,0,8,416,1927,0.0,29.44,30.16,8.3,5,8.8
2007-06-13,1,87,60,74,53,62,0,9,416,1927,0.0,29.36,30.09,7.2,5,8.6
2007-06-14,1,89,64,77,55,64,0,12,416,1928,0.0,29.3,30.02,5.6,5,6.8
2007-06-15,1,91,63,77,56,64,0,12,416,1928,0.0,29.28,29.99,4.1,6,4.9
2007-06-16,1,93,66,80,60,67,0,15,416,1929,0.005,29.26,29.97,4.8,28,5.8
2007-06-17,1,91,70,81,64,70,0,16,416,1929,0.0,29.23,29.95,2.8,11,6.3
2007-06-18,1,89,69,79,65,70,0,14,416,1929,0.28,29.12,29.84,14.0,20,15.1
2007-06-19,1,80,65,73,55,63,0,8,416,1930,0.58,29.26,29.95,10.7,28,11.4
2007-06-20,1,84,61,73,52,61,0,8,416,1930,0.0,29.39,30.1,7.8,27,8.8
